"crop","LAR","DSCI","n_states","n_obs","drought_ratio"
"BARLEY",0,300,14,966,0.571428571428571
"BARLEY",0,350,14,940,0.576595744680851
"BARLEY",0,400,14,918,0.579520697167756
"BARLEY",0,450,14,897,0.588628762541806
"BARLEY",0.1,300,14,668,0.676646706586826
"BARLEY",0.1,350,14,628,0.691082802547771
"BARLEY",0.1,400,14,600,0.705
"BARLEY",0.1,450,14,571,0.728546409807356
"BARLEY",0.2,300,13,506,0.699604743083004
"BARLEY",0.2,350,13,456,0.721491228070175
"BARLEY",0.2,400,13,422,0.741706161137441
"BARLEY",0.2,450,13,391,0.780051150895141
"BARLEY",0.3,300,13,403,0.704714640198511
"BARLEY",0.3,350,13,346,0.728323699421965
"BARLEY",0.3,400,13,306,0.754901960784314
"BARLEY",0.3,450,12,272,0.816176470588235
"CORN",0,300,36,14329,0.597948216902785
"CORN",0,350,36,14217,0.59815713582331
"CORN",0,400,36,14140,0.597736916548798
"CORN",0,450,36,14078,0.597385992328456
"CORN",0.1,300,36,8109,0.796399062769762
"CORN",0.1,350,36,7940,0.802267002518892
"CORN",0.1,400,35,7826,0.805136723741375
"CORN",0.1,450,35,7750,0.807354838709677
"CORN",0.2,300,36,5751,0.851677969048861
"CORN",0.2,350,36,5532,0.864244396240058
"CORN",0.2,400,35,5380,0.871747211895911
"CORN",0.2,450,34,5295,0.875920679886686
"CORN",0.3,300,36,4377,0.864519076993374
"CORN",0.3,350,36,4109,0.884400097347286
"CORN",0.3,400,35,3925,0.896305732484076
"CORN",0.3,450,33,3820,0.90261780104712
"COTTON",0,300,17,2997,0.543543543543544
"COTTON",0,350,17,2933,0.544152744630072
"COTTON",0,400,17,2892,0.545297372060857
"COTTON",0,450,17,2866,0.547801814375436
"COTTON",0.1,300,17,2015,0.651612903225806
"COTTON",0.1,350,17,1931,0.656136716727084
"COTTON",0.1,400,17,1873,0.662039508809397
"COTTON",0.1,450,17,1838,0.668661588683351
"COTTON",0.2,300,17,1575,0.685079365079365
"COTTON",0.2,350,17,1469,0.692307692307692
"COTTON",0.2,400,17,1397,0.702934860415175
"COTTON",0.2,450,16,1340,0.715671641791045
"COTTON",0.3,300,17,1267,0.696921862667719
"COTTON",0.3,350,17,1141,0.705521472392638
"COTTON",0.3,400,17,1052,0.720532319391635
"COTTON",0.3,450,16,973,0.738951695786228
"OATS",0,300,14,1507,0.568679495686795
"OATS",0,350,14,1497,0.569138276553106
"OATS",0,400,14,1493,0.570663094440723
"OATS",0,450,14,1492,0.570375335120643
"OATS",0.1,300,14,964,0.656639004149378
"OATS",0.1,350,14,953,0.65897166841553
"OATS",0.1,400,14,949,0.661749209694415
"OATS",0.1,450,14,948,0.661392405063291
"OATS",0.2,300,13,666,0.698198198198198
"OATS",0.2,350,13,652,0.702453987730061
"OATS",0.2,400,13,647,0.706336939721793
"OATS",0.2,450,13,645,0.706976744186047
"OATS",0.3,300,13,496,0.709677419354839
"OATS",0.3,350,13,479,0.713987473903967
"OATS",0.3,400,13,473,0.720930232558139
"OATS",0.3,450,13,471,0.721868365180467
"PEANUTS",0,300,8,937,0.578441835645678
"PEANUTS",0,350,8,922,0.577006507592191
"PEANUTS",0,400,8,918,0.57843137254902
"PEANUTS",0,450,8,914,0.578774617067834
"PEANUTS",0.1,300,8,603,0.704809286898839
"PEANUTS",0.1,350,8,577,0.710571923743501
"PEANUTS",0.1,400,8,559,0.717352415026834
"PEANUTS",0.1,450,8,547,0.727605118829982
"PEANUTS",0.2,300,8,404,0.75990099009901
"PEANUTS",0.2,350,8,367,0.771117166212534
"PEANUTS",0.2,400,8,335,0.788059701492537
"PEANUTS",0.2,450,8,310,0.812903225806452
"PEANUTS",0.3,300,8,298,0.788590604026846
"PEANUTS",0.3,350,8,257,0.809338521400778
"PEANUTS",0.3,400,7,213,0.849765258215962
"PEANUTS",0.3,450,6,170,0.9
"SORGHUM",0,300,10,2388,0.546901172529313
"SORGHUM",0,350,10,2371,0.546183045128638
"SORGHUM",0,400,10,2358,0.544953350296862
"SORGHUM",0,450,10,2349,0.544912728820775
"SORGHUM",0.1,300,10,1780,0.662921348314607
"SORGHUM",0.1,350,10,1751,0.664762992575671
"SORGHUM",0.1,400,10,1731,0.665511265164645
"SORGHUM",0.1,450,10,1721,0.665891923300407
"SORGHUM",0.2,300,9,1395,0.741218637992831
"SORGHUM",0.2,350,9,1351,0.746113989637306
"SORGHUM",0.2,400,9,1324,0.748489425981873
"SORGHUM",0.2,450,9,1310,0.750381679389313
"SORGHUM",0.3,300,9,1148,0.798780487804878
"SORGHUM",0.3,350,9,1093,0.806038426349497
"SORGHUM",0.3,400,9,1055,0.812322274881517
"SORGHUM",0.3,450,8,1040,0.816346153846154
"SOYBEANS",0,300,30,13137,0.607140138540001
"SOYBEANS",0,350,30,13086,0.606678893473942
"SOYBEANS",0,400,30,13056,0.606311274509804
"SOYBEANS",0,450,30,13032,0.606046654389196
"SOYBEANS",0.1,300,30,7405,0.809318028359217
"SOYBEANS",0.1,350,30,7292,0.812122874382885
"SOYBEANS",0.1,400,30,7238,0.813898867090356
"SOYBEANS",0.1,450,30,7207,0.814208408491744
"SOYBEANS",0.2,300,30,4932,0.880981346309814
"SOYBEANS",0.2,350,30,4760,0.889705882352941
"SOYBEANS",0.2,400,30,4678,0.894613082513895
"SOYBEANS",0.2,450,30,4628,0.896067415730337
"SOYBEANS",0.3,300,30,3506,0.906160867084997
"SOYBEANS",0.3,350,30,3292,0.92041312272175
"SOYBEANS",0.3,400,30,3171,0.929990539262062
"SOYBEANS",0.3,450,30,3106,0.933676754668384
"SUGARBEETS",0,300,9,254,0.492125984251969
"SUGARBEETS",0,350,9,196,0.520408163265306
"SUGARBEETS",0,400,8,160,0.51875
"SUGARBEETS",0,450,8,148,0.5
"SUGARBEETS",0.1,300,9,144,0.506944444444444
"SUGARBEETS",0.1,350,8,78,0.615384615384615
"SUGARBEETS",0.1,400,7,42,0.69047619047619
"SUGARBEETS",0.1,450,7,27,0.703703703703704
"SUGARBEETS",0.2,300,8,129,0.488372093023256
"SUGARBEETS",0.2,350,7,64,0.609375
"SUGARBEETS",0.2,400,6,24,0.666666666666667
"SUGARBEETS",0.2,450,4,9,0.666666666666667
"SUGARBEETS",0.3,300,8,128,0.4921875
"SUGARBEETS",0.3,350,7,62,0.612903225806452
"SUGARBEETS",0.3,400,6,22,0.681818181818182
"SUGARBEETS",0.3,450,3,7,0.714285714285714
"TOBACCO",0,300,2,339,0.52212389380531
"TOBACCO",0,350,2,338,0.523668639053254
"TOBACCO",0,400,2,338,0.523668639053254
"TOBACCO",0,450,2,337,0.525222551928783
"TOBACCO",0.1,300,2,275,0.552727272727273
"TOBACCO",0.1,350,2,273,0.556776556776557
"TOBACCO",0.1,400,2,273,0.556776556776557
"TOBACCO",0.1,450,2,272,0.558823529411765
"TOBACCO",0.2,300,2,188,0.606382978723404
"TOBACCO",0.2,350,2,182,0.60989010989011
"TOBACCO",0.2,400,2,182,0.60989010989011
"TOBACCO",0.2,450,2,181,0.613259668508287
"TOBACCO",0.3,300,2,117,0.632478632478632
"TOBACCO",0.3,350,2,108,0.638888888888889
"TOBACCO",0.3,400,2,108,0.638888888888889
"TOBACCO",0.3,450,2,107,0.644859813084112
"WHEAT",0,300,31,5625,0.530488888888889
"WHEAT",0,350,31,5476,0.536523009495982
"WHEAT",0,400,31,5360,0.540298507462687
"WHEAT",0,450,31,5306,0.542593290614399
"WHEAT",0.1,300,31,3672,0.654411764705882
"WHEAT",0.1,350,31,3479,0.674619143432021
"WHEAT",0.1,400,31,3327,0.691012924556658
"WHEAT",0.1,450,31,3260,0.698466257668712
"WHEAT",0.2,300,29,2851,0.703612767450018
"WHEAT",0.2,350,29,2629,0.737542791936097
"WHEAT",0.2,400,29,2454,0.764873675631622
"WHEAT",0.2,450,29,2376,0.779882154882155
"WHEAT",0.3,300,28,2314,0.713915298184961
"WHEAT",0.3,350,27,2073,0.758803666184274
"WHEAT",0.3,400,27,1871,0.799037947621593
"WHEAT",0.3,450,27,1783,0.823331463825014
